Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Alex Bregman,2016,22,HOU,AL,2,49,217,201,31,53,13,3,8,34,2,0,15,52,0.264,0.313,0.478,0.791,116,0.345,118,96,1,0,0,1,0,5/64D7H,
Alex Bregman,2017,23,HOU,AL,4,155,626,556,88,158,39,5,19,71,17,5,55,97,0.284,0.352,0.475,0.827,125,0.359,126,264,15,7,1,7,2,*56/4HD,
Alex Bregman,2018,24,HOU,AL,7.9,157,705,594,105,170,51,1,31,103,10,4,96,85,0.286,0.394,0.532,0.926,152,0.397,153,316,15,12,0,3,2,*56/47,"AS,MVP-5"
Alex Bregman,2019,25,HOU,AL,8.9,156,690,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,0.421,161,328,9,9,0,8,2,56/D,"AS,MVP-2,SS"
Alex Bregman,2020,26,HOU,AL,1.1,42,180,153,19,37,12,1,6,22,0,0,24,26,0.242,0.35,0.451,0.801,117,0.344,112,69,2,2,0,1,1,*5/H,
Alex Bregman,2021,27,HOU,AL,2.1,91,400,348,54,94,17,0,12,55,1,0,44,53,0.27,0.355,0.422,0.777,113,0.34,113,147,13,4,0,4,4,5/H,
Alex Bregman,2022,28,HOU,AL,4.6,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,134,0.358,133,249,18,11,0,10,1,*5/H,MVP-19
Alex Bregman,2023,29,HOU,AL,4.9,161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122,0.354,124,274,22,8,0,2,1,*5/D,MVP-22
Alex Bregman,2024,30,HOU,AL,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,0.26,0.315,0.453,0.768,118,0.334,117,263,13,5,0,4,1,*5/D,GG
Aaron Judge ,2016,24,NYY,AL,-0.3,27,95,84,10,15,2,0,4,10,0,1,9,42,0.179,0.263,0.345,0.608,61,0.272,60,29,2,1,0,1,0,9/H,
Aaron Judge ,2017,25,NYY,AL,8,155,678,542,128,154,24,3,52,114,9,4,127,208,0.284,0.422,0.627,1.049,171,0.435,172,340,15,5,0,4,11,*9D/H,"AS,MVP-2,ROY-1,SS"
Aaron Judge ,2018,26,NYY,AL,5.9,112,498,413,77,115,22,0,27,67,6,3,76,152,0.278,0.392,0.528,0.919,150,0.396,152,218,10,4,0,5,3,9D/H8,"AS,MVP-12"
Aaron Judge ,2019,27,NYY,AL,5.6,102,447,378,75,103,18,1,27,55,3,2,64,141,0.272,0.381,0.54,0.921,143,0.393,148,204,11,3,0,1,4,9D/H,
Aaron Judge ,2020,28,NYY,AL,1.1,28,114,101,23,26,3,0,9,22,0,1,10,32,0.257,0.336,0.554,0.891,143,0.379,145,56,5,2,0,0,0,9/DH,
Aaron Judge ,2021,29,NYY,AL,6.1,148,633,550,89,158,24,0,39,98,6,1,75,158,0.287,0.373,0.544,0.916,149,0.392,150,299,16,3,0,5,2,*98D/H,"AS,MVP-4,SS"
Aaron Judge ,2022,30,NYY,AL,10.5,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,0.463,208,391,14,6,0,5,19,*89D/H,"AS,MVP-1,SS"
