Team,Season,AB,PA,H_x,1B,2B,3B,HR_x,R_x,RBI,BB_x,IBB,SO_x,HBP_x,SF,SH,GDP,SB,CS,ERA,WHIP,SO_y,W,L,SV,WAR,G,GS,CG,IP,H_y,R_y,ER,HR_y,BB_y,HBP_y,WP,BK,GB,FB,LD,Balls,Strikes,Pitches,RS
0,2021,4499,5043,1078,679,264,26,109,562,511,442,20,1216,43,24,31,86,36,13,7.43,1.8627272727272728,1084,43,91,12,2.5999999999999996,554,160,3,1240.4,1304,779,711,207,484,65,32,5,1528,1489,798,7545,13395,20940,601
0,2022,4748,5356,1089,694,226,21,148,625,571,478,10,1176,54,43,29,84,101,25,5.033333333333333,1.3992592592592592,1155,69,82,31,6.5,662,157,0,1362.7,1262,683,623,183,479,57,47,3,1597,1598,826,8027,14352,22379,674
0,2023,4823,5435,1219,781,240,40,158,680,623,482,10,1089,53,42,33,106,144,23,5.748461538461539,1.4949999999999999,1228,79,72,22,12.3,588,161,1,1311.2,1259,705,664,182,473,42,34,7,1583,1434,790,7859,13670,21529,699
0,2024,5345,6073,1407,901,264,36,206,856,819,541,17,1225,83,65,34,101,116,29,6.639615384615384,1.6984615384615382,1237,86,69,36,12.0,630,162,0,1363.6,1397,745,701,170,456,52,46,7,1757,1475,858,7910,14497,22407,846
1,2021,4408,4982,1091,651,233,16,191,669,621,450,29,1197,56,37,31,65,56,18,4.57304347826087,1.3217391304347825,1358,85,65,40,17.1,673,153,2,1315.4,1132,595,552,159,477,62,68,7,1581,1212,760,7760,13943,21703,743
1,2022,5302,5850,1352,813,290,11,238,765,731,446,13,1444,66,35,1,100,84,30,4.325652173913043,1.297391304347826,1357,95,52,49,20.7,538,148,1,1247.4,1031,514,475,126,420,56,50,1,1479,1178,654,7184,13211,20395,719
1,2023,5523,6168,1525,906,290,23,306,932,904,533,20,1275,66,42,2,128,127,27,4.488888888888889,1.4288888888888889,1443,100,54,51,16.1,641,157,1,1362.6,1263,660,610,174,510,67,52,8,1589,1411,764,8169,14767,22936,904
1,2024,4658,5159,1132,705,229,12,186,595,584,410,11,1245,51,36,3,108,52,13,5.568888888888889,1.4822222222222223,1518,89,72,40,23.6,621,162,2,1410.8999999999999,1253,590,544,145,435,67,32,4,1725,1319,758,7798,14890,22688,690
2,2021,4707,5194,1135,708,237,12,178,580,573,392,11,1260,54,29,11,93,46,20,7.109999999999999,1.63625,1148,50,106,26,7.4,658,154,1,1293.7,1404,878,839,242,514,60,79,7,1613,1574,847,8350,14337,22687,617
2,2022,4967,5536,1166,727,256,24,159,630,591,439,8,1268,73,40,12,91,95,31,5.3785185185185185,1.5766666666666667,1051,73,68,27,9.8,600,145,2,1252.5,1249,611,567,155,379,52,39,1,1634,1396,775,7184,13167,20351,600
2,2023,5295,5887,1344,839,302,27,176,772,749,477,13,1321,45,46,21,111,108,24,4.2172,1.4844,1319,98,58,47,17.9,641,155,0,1344.5,1225,612,567,163,433,55,58,7,1672,1371,755,7902,14241,22143,762
2,2024,5095,5657,1268,783,232,32,221,732,704,458,13,1227,54,40,5,63,97,21,5.716190476190476,1.3404761904761904,1106,73,57,34,14.5,525,132,0,1105.7,958,520,469,129,384,35,35,7,1310,1210,574,6577,11667,18244,605
3,2021,4933,5481,1298,780,294,20,204,741,720,449,22,1217,49,40,8,93,36,18,5.596333333333333,1.745,1392,85,65,44,20.4,609,162,0,1280.7,1261,665,596,154,484,73,57,3,1581,1247,738,7774,14118,21892,752
3,2022,4393,4886,1152,725,283,10,134,610,577,395,23,1114,49,43,5,102,47,12,5.578275862068966,1.5462068965517242,1226,70,80,38,10.3,634,159,5,1321.0,1318,721,663,174,460,60,54,8,1698,1468,761,7693,14169,21862,681
3,2023,5072,5625,1326,815,320,18,173,707,680,439,15,1256,63,33,11,102,103,24,5.686153846153847,1.621923076923077,1355,76,81,42,13.7,609,160,0,1343.7,1331,713,665,198,458,76,45,4,1709,1421,744,7974,14658,22632,733
3,2024,5109,5669,1307,807,285,30,185,707,674,447,30,1440,64,40,7,97,142,41,3.7772,1.3236,1260,79,74,36,15.9,620,157,1,1318.8,1223,650,570,167,417,66,42,4,1685,1371,746,7302,14022,21324,700
4,2021,3622,4086,825,543,143,12,127,455,410,358,11,1125,52,17,36,96,56,23,4.732903225806451,1.427741935483871,1040,57,65,14,1.1102230246251565e-16,564,129,1,1098.9,1106,665,614,194,467,85,46,3,1446,1081,698,7027,11736,18763,574
4,2022,4918,5515,1183,768,245,23,147,598,570,464,16,1302,82,33,17,122,98,36,7.713125,1.7403125,1099,61,76,27,7.1,472,157,0,1196.9,1131,599,530,170,440,65,42,5,1518,1299,691,7412,12715,20127,545
4,2023,5318,6009,1355,882,257,29,187,790,760,549,11,1336,75,50,15,93,138,34,8.8116,1.8348000000000002,1350,83,77,34,16.2,632,161,1,1395.2,1299,706,637,176,491,60,53,6,1758,1398,832,8368,14520,22888,812
4,2024,4759,5333,1174,770,233,27,144,653,595,468,17,1180,57,32,16,71,132,25,7.005,1.9675,1116,65,66,18,11.7,445,161,1,1201.7,1111,578,518,158,408,38,35,3,1456,1378,657,6938,12633,19571,626
5,2021,4861,5517,1266,809,261,20,176,719,701,528,8,1251,70,38,20,125,54,19,5.168636363636364,1.5545454545454547,1483,87,66,41,27.0,582,162,4,1310.7,1116,589,535,168,454,44,73,6,1431,1325,700,8103,14093,22196,753
5,2022,5279,5766,1352,948,255,9,140,649,616,373,9,1206,70,33,11,124,47,10,4.889047619047619,1.4238095238095236,1402,79,73,48,17.6,677,154,2,1391.8999999999999,1256,666,591,156,501,49,59,6,1602,1522,773,8461,14856,23317,658
5,2023,4962,5387,1206,812,244,12,138,576,546,336,19,1213,45,25,14,114,82,21,6.1994444444444445,1.6666666666666667,869,37,58,13,6.6000000000000005,420,99,2,874.6,868,504,472,121,394,57,44,2,994,1017,530,5851,9643,15494,394
5,2024,4214,4579,935,647,178,8,102,394,391,299,7,1074,28,19,16,87,68,28,4.803076923076923,1.6546153846153848,1016,28,97,7,6.7,471,136,0,1068.6,1049,627,567,152,519,39,49,9,1211,1299,614,7304,11649,18953,386
